"Table S2, dinocyst percentages and environmental parameters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Dinocyst  percentages, See table 1 for abbreviations ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Site number","Aand","Atax","Btep","Bspo","Iacu","Ipal","Ipar","Ipat","Isph","Istr","Ipli","Ivel","Ijap","Lmac","Mcho","Nlab","Nrig","Ocen","Oisr","Ojan","Olon","Ogig","Pzoh","Pret","Smem","Sdel","Selo","Sram","Sbel","Sben","Sbul","Slaz","Smir","Sgra","Spac","Sspp","Tpel","Pdal","Stri","Imin","Imic","Ibre","Ekar","Bspp","Dubr","Peri","Lspp","Snep","Xxan","Squa","Pnud","Tapp","Tvar","Vcal","Vspi","Pame","Qcon","Pkof","Parc","Psch","Gymn","Eacu","Egra","Edel","Etra","Espp","Sste","Sbif","Cysa","Tvan","Dcha"
"G048",0,0.297619047619048,2.38095238095238,0,0,0,0,0,0,0,0,0,0,0,0,1.48809523809524,0,8.92857142857143,0,0,0,0,0,0,0,0,2.67857142857143,7.44047619047619,0,0,0,0,0,0,0,0.297619047619048,0,45.5357142857143,0,3.27380952380952,0,0,0,26.1904761904762,0,0,0,0,0,1.48809523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G049",0,0.651465798045603,0.977198697068404,0,0,0,0,0,0,0,0,0,0,0,0,4.23452768729642,0,14.9837133550489,0,0,0,0,0,0,0,0,1.95439739413681,6.51465798045603,0,0,0,0,0,0,0,0.651465798045603,0,35.1791530944625,0,8.14332247557003,0,0,0,24.1042345276873,0,0,0,0,0,2.60586319218241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G050",0,0.271739130434783,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98913043478261,0,8.15217391304348,0,0,0,0,0,0,0,0,2.44565217391304,2.71739130434783,0,0,0,0,0,0,0,0.543478260869565,0,28.804347826087,0,16.5760869565217,0,0,0,36.4130434782609,0,0,0,0,0,1.08695652173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0358422939068,0,47.3118279569892,0,0,0,0,0,0,0,0,1.0752688172043,1.0752688172043,0,0,0,0,0,0,0,1.7921146953405,0,37.2759856630824,0,0,0,0,0,1.4336917562724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G052",0,0,2.23214285714286,0,0,0,0,0,0,0,0,0,0,0,0,3.57142857142857,0,45.9821428571429,0,0,0,0,0,0,0,0,0.892857142857143,1.33928571428571,0,0,0,0,0,0,0,1.78571428571429,0,36.1607142857143,0,0.892857142857143,0,0,0,7.14285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G053",0,0,12.8654970760234,0,0,0,0,0.292397660818713,0,0,0,0,0,0,0,6.72514619883041,0,38.0116959064327,0,0,0,0,0,0,0,0,0.87719298245614,1.75438596491228,0,0,0,0,0,0,0,1.75438596491228,0,19.5906432748538,0,0,0,0,0,18.1286549707602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G054",0,0,0.3584229390681,0,0,0,0,0,0,0,0,0,0,0,0,19.3548387096774,0,40.8602150537634,0,0,0,0,0,0,0,0,3.2258064516129,3.04659498207885,0,0,0,0,0,0,0,2.68817204301075,0,27.7777777777778,0,0.17921146953405,0,0,0,2.5089605734767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G055",0,0.609756097560976,0.914634146341463,0,0,0,0,0,0,0,0,0,0,0,0,16.7682926829268,0,26.8292682926829,0,0,0,0,0,0,0,0,4.57317073170732,3.96341463414634,0.304878048780488,0,0,0,0,0,0,4.26829268292683,0,27.4390243902439,0,0,0,0,0,14.0243902439024,0,0,0,0,0,0.304878048780488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G056",0,0,0.5420054200542,0,0,0,0,0,0,0,0,0,0,0,0,24.9322493224932,0,31.7073170731707,0,0,0,0,0,0,0,0,3.2520325203252,2.1680216802168,0,0,0,0,0,0,0,4.3360433604336,0,29.2682926829268,0,0.5420054200542,0,0,0,3.2520325203252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G057",0,0.16260162601626,1.13821138211382,0,0,0.16260162601626,0,0,0.16260162601626,0,0,0,0,0,0,16.9105691056911,0,39.349593495935,0,0,0,0,0,0,0,0,4.55284552845528,2.60162601626016,0,0,0,0,0,0,0,0.48780487804878,0,29.9186991869919,0,0.32520325203252,0,0,0,4.0650406504065,0,0,0,0,0,0.16260162601626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
